C/O enriched -- based on Grevesse & Sauval (1998) solar abundances
    form   version    Tables               X               Zbase           Zfrac_C           Zfrac_N           Zfrac_O          Zfrac_Ne     logRs       min       max     logTs       min       max
       2        38        30          0.700000          0.030000          0.171835          0.050335          0.467356          0.104831        37     -8.00      1.00       138      3.75      8.70

 13 tables with dXC > dXO
         Num        Y           dXC         dXO 
           1      0.2600      0.0100      0.0000
           2      0.2400      0.0300      0.0000
           3      0.1700      0.1000      0.0000
           4      0.0700      0.2000      0.0000
           5      0.0000      0.2700      0.0000
           6      0.2300      0.0300      0.0100
           7      0.1600      0.1000      0.0100
           8      0.0600      0.2000      0.0100
           9      0.0000      0.2600      0.0100
          10      0.1400      0.1000      0.0300
          11      0.0400      0.2000      0.0300
          12      0.0000      0.2400      0.0300
          13      0.0000      0.1700      0.1000

  4 tables with dXC == dXO
         Num        Y           dXC         dXO 
          14      0.2700      0.0000      0.0000
          15      0.2500      0.0100      0.0100
          16      0.2100      0.0300      0.0300
          17      0.0700      0.1000      0.1000

 13 tables with dXC < dXO
         Num        Y           dXC         dXO 
          18      0.2600      0.0000      0.0100
          19      0.2400      0.0000      0.0300
          20      0.1700      0.0000      0.1000
          21      0.0700      0.0000      0.2000
          22      0.0000      0.0000      0.2700
          23      0.2300      0.0100      0.0300
          24      0.1600      0.0100      0.1000
          25      0.0600      0.0100      0.2000
          26      0.0000      0.0100      0.2600
          27      0.1400      0.0300      0.1000
          28      0.0400      0.0300      0.2000
          29      0.0000      0.0300      0.2400
          30      0.0000      0.1000      0.1700

---------------------------------------------------------------------------

     Table                  X          Y        Zbase       dXC        dXO 
       1                  0.700      0.260      0.030      0.010      0.000

   logT                       logR = logRho - 3*logT + 18
          -8.000  -7.750  -7.500  -7.250  -7.000  -6.750  -6.500  -6.250  -6.000  -5.750  -5.500  -5.250  -5.000  -4.750  -4.500  -4.250  -4.000  -3.750  -3.500  -3.250  -3.000  -2.750  -2.500  -2.250  -2.000  -1.750  -1.500  -1.250  -1.000  -0.750  -0.500  -0.250   0.000   0.250   0.500   0.750   1.000

   3.750  -0.731  -0.798  -0.873  -0.956  -1.047  -1.145  -1.246  -1.350  -1.455  -1.560  -1.663  -1.764  -1.859  -1.947  -2.022  -2.082  -2.123  -2.138  -2.129  -2.093  -2.036  -1.962  -1.873  -1.769  -1.656  -1.547  -1.428  -1.289  -1.138  -0.979  -0.811  -0.635  -0.448  -0.249  -0.049   0.135   0.309
   3.775  -0.638  -0.678  -0.727  -0.786  -0.856  -0.936  -1.023  -1.116  -1.213  -1.311  -1.409  -1.506  -1.597  -1.680  -1.751  -1.808  -1.846  -1.860  -1.851  -1.816  -1.762  -1.694  -1.611  -1.511  -1.404  -1.301  -1.191  -1.063  -0.924  -0.781  -0.632  -0.476  -0.309  -0.125   0.060   0.232   0.396
   3.800  -0.557  -0.571  -0.594  -0.627  -0.670  -0.725  -0.790  -0.862  -0.939  -1.021  -1.104  -1.187  -1.266  -1.337  -1.398  -1.447  -1.479  -1.490  -1.480  -1.448  -1.398  -1.336  -1.261  -1.169  -1.069  -0.975  -0.875  -0.758  -0.634  -0.508  -0.377  -0.242  -0.097   0.067   0.235   0.393   0.546
   3.825  -0.530  -0.532  -0.539  -0.551  -0.569  -0.594  -0.625  -0.664  -0.710  -0.762  -0.820  -0.880  -0.939  -0.993  -1.040  -1.078  -1.102  -1.108  -1.097  -1.068  -1.025  -0.969  -0.900  -0.817  -0.728  -0.642  -0.551  -0.444  -0.330  -0.214  -0.095   0.028   0.158   0.301   0.451   0.592   0.739
   3.850  -0.530  -0.527  -0.524  -0.522  -0.520  -0.518  -0.519  -0.525  -0.537  -0.557  -0.582  -0.612  -0.643  -0.673  -0.699  -0.719  -0.730  -0.727  -0.712  -0.685  -0.646  -0.594  -0.532  -0.459  -0.381  -0.304  -0.220  -0.122  -0.017   0.090   0.201   0.315   0.433   0.559   0.691   0.830   0.975
   3.875  -0.529  -0.523  -0.516  -0.507  -0.497  -0.483  -0.469  -0.455  -0.442  -0.431  -0.421  -0.413  -0.406  -0.398  -0.391  -0.381  -0.369  -0.351  -0.327  -0.297  -0.259  -0.212  -0.157  -0.095  -0.027   0.043   0.119   0.206   0.299   0.396   0.498   0.602   0.710   0.823   0.942   1.067   1.202
   3.900  -0.531  -0.525  -0.517  -0.507  -0.494  -0.476  -0.454  -0.427  -0.395  -0.357  -0.315  -0.270  -0.222  -0.175  -0.128  -0.084  -0.042  -0.002   0.036   0.076   0.117   0.164   0.214   0.268   0.326   0.390   0.459   0.534   0.616   0.704   0.797   0.892   0.991   1.094   1.202   1.317   1.437
   3.925  -0.532  -0.528  -0.521  -0.511  -0.498  -0.480  -0.455  -0.421  -0.377  -0.323  -0.258  -0.184  -0.104  -0.019   0.066   0.149   0.227   0.297   0.360   0.417   0.470   0.521   0.572   0.623   0.675   0.733   0.794   0.861   0.933   1.012   1.095   1.181   1.272   1.366   1.465   1.567   1.677
   3.950  -0.530  -0.528  -0.523  -0.517  -0.506  -0.489  -0.464  -0.428  -0.379  -0.315  -0.236  -0.141  -0.034   0.083   0.204   0.324   0.439   0.543   0.636   0.717   0.787   0.849   0.906   0.959   1.011   1.064   1.120   1.180   1.245   1.314   1.389   1.467   1.549   1.636   1.727   1.823   1.923
   3.975  -0.523  -0.522  -0.519  -0.514  -0.506  -0.492  -0.469  -0.435  -0.386  -0.320  -0.235  -0.129  -0.006   0.133   0.281   0.432   0.582   0.721   0.849   0.959   1.055   1.137   1.207   1.268   1.324   1.379   1.432   1.488   1.546   1.609   1.675   1.745   1.819   1.898   1.982   2.069   2.162
   4.000  -0.513  -0.513  -0.511  -0.508  -0.502  -0.491  -0.471  -0.441  -0.395  -0.331  -0.246  -0.136  -0.005   0.148   0.315   0.492   0.670   0.842   1.002   1.145   1.270   1.376   1.466   1.542   1.608   1.667   1.723   1.777   1.832   1.889   1.949   2.013   2.080   2.152   2.229   2.310   2.397
   4.025  -0.502  -0.502  -0.500  -0.499  -0.494  -0.485  -0.468  -0.440  -0.398  -0.337  -0.254  -0.146  -0.013   0.145   0.321   0.512   0.709   0.905   1.093   1.265   1.421   1.555   1.670   1.767   1.849   1.920   1.983   2.041   2.096   2.152   2.209   2.268   2.329   2.395   2.465   2.540   2.619
   4.050  -0.490  -0.489  -0.488  -0.487  -0.483  -0.475  -0.460  -0.436  -0.397  -0.340  -0.262  -0.157  -0.028   0.129   0.307   0.505   0.714   0.926   1.136   1.334   1.518   1.681   1.824   1.945   2.048   2.135   2.210   2.276   2.336   2.393   2.449   2.506   2.565   2.626   2.691   2.759   2.832
   4.075  -0.479  -0.477  -0.475  -0.473  -0.469  -0.462  -0.448  -0.426  -0.390  -0.337  -0.263  -0.163  -0.038   0.114   0.290   0.487   0.698   0.919   1.141   1.357   1.563   1.752   1.922   2.071   2.199   2.307   2.398   2.476   2.545   2.607   2.666   2.724   2.781   2.840   2.901   2.966   3.033
   4.100  -0.471  -0.467  -0.463  -0.460  -0.455  -0.448  -0.435  -0.414  -0.381  -0.331  -0.261  -0.166  -0.047   0.099   0.269   0.461   0.670   0.892   1.120   1.349   1.572   1.783   1.978   2.153   2.307   2.438   2.550   2.644   2.725   2.796   2.860   2.921   2.980   3.039   3.098   3.160   3.223
   4.125  -0.467  -0.461  -0.456  -0.451  -0.445  -0.436  -0.423  -0.402  -0.371  -0.324  -0.258  -0.168  -0.054   0.086   0.249   0.436   0.640   0.859   1.088   1.322   1.555   1.782   1.997   2.195   2.374   2.530   2.664   2.778   2.875   2.958   3.031   3.098   3.161   3.221   3.281   3.342   3.404
   4.150  -0.465  -0.458  -0.451  -0.445  -0.437  -0.426  -0.412  -0.391  -0.361  -0.316  -0.253  -0.167  -0.059   0.075   0.232   0.411   0.610   0.824   1.050   1.285   1.523   1.760   1.990   2.208   2.410   2.589   2.747   2.882   2.997   3.095   3.180   3.255   3.324   3.388   3.450   3.512   3.574
   4.175  -0.465  -0.457  -0.449  -0.441  -0.431  -0.420  -0.404  -0.383  -0.352  -0.307  -0.247  -0.165  -0.061   0.068   0.219   0.393   0.586   0.795   1.017   1.250   1.489   1.731   1.970   2.202   2.421   2.621   2.801   2.958   3.094   3.209   3.308   3.394   3.470   3.541   3.607   3.673   3.736
   4.200  -0.465  -0.457  -0.448  -0.439  -0.428  -0.415  -0.398  -0.376  -0.344  -0.300  -0.241  -0.162  -0.061   0.063   0.209   0.377   0.565   0.769   0.987   1.216   1.454   1.697   1.941   2.182   2.415   2.633   2.834   3.012   3.169   3.302   3.417   3.516   3.602   3.680   3.752   3.823   3.889
   4.225  -0.465  -0.457  -0.449  -0.439  -0.427  -0.414  -0.396  -0.373  -0.341  -0.297  -0.238  -0.161  -0.063   0.057   0.199   0.364   0.547   0.748   0.963   1.190   1.426   1.668   1.914   2.159   2.400   2.631   2.849   3.047   3.225   3.377   3.510   3.623   3.722   3.810   3.890   3.966   4.038
   4.250  -0.464  -0.457  -0.449  -0.439  -0.427  -0.413  -0.394  -0.370  -0.338  -0.295  -0.237  -0.161  -0.065   0.052   0.191   0.352   0.532   0.730   0.943   1.168   1.403   1.644   1.889   2.136   2.382   2.623   2.854   3.069   3.265   3.437   3.588   3.717   3.830   3.930   4.019   4.103   4.180
   4.275  -0.460  -0.454  -0.446  -0.436  -0.424  -0.410  -0.392  -0.368  -0.336  -0.293  -0.235  -0.161  -0.068   0.047   0.183   0.341   0.520   0.717   0.930   1.154   1.388   1.628   1.873   2.121   2.369   2.615   2.855   3.083   3.294   3.483   3.652   3.799   3.927   4.040   4.141   4.233   4.315
   4.300  -0.454  -0.449  -0.441  -0.432  -0.420  -0.406  -0.388  -0.364  -0.333  -0.290  -0.234  -0.161  -0.070   0.042   0.175   0.332   0.509   0.707   0.920   1.145   1.379   1.619   1.864   2.112   2.361   2.610   2.855   3.093   3.317   3.521   3.707   3.870   4.015   4.142   4.254   4.356   4.445
   4.325  -0.446  -0.441  -0.434  -0.425  -0.414  -0.400  -0.381  -0.358  -0.328  -0.287  -0.232  -0.162  -0.074   0.036   0.167   0.322   0.498   0.696   0.910   1.137   1.373   1.615   1.861   2.111   2.362   2.613   2.862   3.106   3.339   3.556   3.755   3.934   4.095   4.236   4.361   4.471   4.566
   4.350  -0.438  -0.433  -0.426  -0.417  -0.405  -0.391  -0.373  -0.350  -0.320  -0.280  -0.228  -0.161  -0.075   0.032   0.161   0.315   0.491   0.689   0.904   1.132   1.371   1.615   1.865   2.116   2.370   2.623   2.875   3.123   3.363   3.589   3.801   3.994   4.168   4.323   4.459   4.578   4.680
   4.375  -0.429  -0.424  -0.417  -0.407  -0.395  -0.380  -0.361  -0.337  -0.306  -0.267  -0.217  -0.152  -0.069   0.036   0.163   0.316   0.492   0.689   0.905   1.134   1.375   1.622   1.874   2.128   2.384   2.640   2.894   3.146   3.391   3.626   3.847   4.050   4.236   4.403   4.550   4.678   4.787
   4.400  -0.422  -0.416  -0.408  -0.398  -0.385  -0.368  -0.348  -0.322  -0.290  -0.251  -0.201  -0.137  -0.056   0.046   0.171   0.323   0.498   0.695   0.911   1.141   1.383   1.632   1.887   2.144   2.403   2.662   2.919   3.174   3.423   3.664   3.893   4.105   4.301   4.477   4.634   4.770   4.887
