C/O enriched -- based on Grevesse & Noels (1993) solar abundances
    form   version    Tables               X               Zbase           Zfrac_C           Zfrac_N           Zfrac_O          Zfrac_Ne     logRs       min       max     logTs       min       max
       2        38        30          0.700000          0.050000          0.173285          0.053152          0.482273          0.098668        37     -8.00      1.00       138      3.75      8.70

 13 tables with dXC > dXO
         Num        Y           dXC         dXO 
           1      0.2400      0.0100      0.0000
           2      0.2200      0.0300      0.0000
           3      0.1500      0.1000      0.0000
           4      0.0500      0.2000      0.0000
           5      0.0000      0.2500      0.0000
           6      0.2100      0.0300      0.0100
           7      0.1400      0.1000      0.0100
           8      0.0400      0.2000      0.0100
           9      0.0000      0.2400      0.0100
          10      0.1200      0.1000      0.0300
          11      0.0200      0.2000      0.0300
          12      0.0000      0.2200      0.0300
          13      0.0000      0.1500      0.1000

  4 tables with dXC == dXO
         Num        Y           dXC         dXO 
          14      0.2500      0.0000      0.0000
          15      0.2300      0.0100      0.0100
          16      0.1900      0.0300      0.0300
          17      0.0500      0.1000      0.1000

 13 tables with dXC < dXO
         Num        Y           dXC         dXO 
          18      0.2400      0.0000      0.0100
          19      0.2200      0.0000      0.0300
          20      0.1500      0.0000      0.1000
          21      0.0500      0.0000      0.2000
          22      0.0000      0.0000      0.2500
          23      0.2100      0.0100      0.0300
          24      0.1400      0.0100      0.1000
          25      0.0400      0.0100      0.2000
          26      0.0000      0.0100      0.2400
          27      0.1200      0.0300      0.1000
          28      0.0200      0.0300      0.2000
          29      0.0000      0.0300      0.2200
          30      0.0000      0.1000      0.1500

---------------------------------------------------------------------------

     Table                  X          Y        Zbase       dXC        dXO 
       1                  0.700      0.240      0.050      0.010      0.000

   logT                       logR = logRho - 3*logT + 18
          -8.000  -7.750  -7.500  -7.250  -7.000  -6.750  -6.500  -6.250  -6.000  -5.750  -5.500  -5.250  -5.000  -4.750  -4.500  -4.250  -4.000  -3.750  -3.500  -3.250  -3.000  -2.750  -2.500  -2.250  -2.000  -1.750  -1.500  -1.250  -1.000  -0.750  -0.500  -0.250   0.000   0.250   0.500   0.750   1.000

   3.750  -0.728  -0.795  -0.869  -0.953  -1.045  -1.141  -1.242  -1.346  -1.450  -1.554  -1.657  -1.757  -1.851  -1.937  -2.011  -2.069  -2.107  -2.120  -2.108  -2.070  -2.010  -1.932  -1.838  -1.729  -1.611  -1.497  -1.370  -1.216  -1.048  -0.875  -0.693  -0.501  -0.301  -0.089   0.116   0.296   0.457
   3.775  -0.635  -0.674  -0.723  -0.783  -0.853  -0.932  -1.020  -1.112  -1.209  -1.306  -1.404  -1.500  -1.590  -1.671  -1.741  -1.796  -1.833  -1.845  -1.834  -1.798  -1.741  -1.671  -1.584  -1.480  -1.369  -1.263  -1.148  -1.009  -0.858  -0.704  -0.543  -0.373  -0.192   0.008   0.206   0.379   0.534
   3.800  -0.554  -0.567  -0.590  -0.623  -0.667  -0.722  -0.786  -0.858  -0.935  -1.016  -1.099  -1.182  -1.260  -1.330  -1.390  -1.438  -1.469  -1.478  -1.467  -1.433  -1.382  -1.319  -1.241  -1.146  -1.043  -0.948  -0.846  -0.723  -0.590  -0.457  -0.318  -0.171  -0.012   0.170   0.354   0.518   0.670
   3.825  -0.527  -0.528  -0.535  -0.547  -0.565  -0.589  -0.621  -0.660  -0.705  -0.758  -0.815  -0.875  -0.933  -0.987  -1.034  -1.070  -1.093  -1.098  -1.086  -1.056  -1.011  -0.954  -0.883  -0.799  -0.707  -0.622  -0.529  -0.417  -0.298  -0.177  -0.052   0.079   0.219   0.377   0.540   0.694   0.847
   3.850  -0.526  -0.523  -0.520  -0.517  -0.515  -0.513  -0.514  -0.520  -0.532  -0.552  -0.577  -0.607  -0.638  -0.668  -0.694  -0.713  -0.722  -0.719  -0.703  -0.675  -0.634  -0.581  -0.517  -0.443  -0.364  -0.286  -0.201  -0.100   0.009   0.120   0.235   0.354   0.479   0.612   0.754   0.905   1.064
   3.875  -0.525  -0.519  -0.511  -0.502  -0.491  -0.478  -0.463  -0.449  -0.436  -0.425  -0.415  -0.407  -0.400  -0.393  -0.385  -0.375  -0.362  -0.343  -0.319  -0.288  -0.249  -0.200  -0.143  -0.080  -0.012   0.059   0.136   0.225   0.321   0.422   0.527   0.635   0.747   0.866   0.992   1.126   1.275
   3.900  -0.527  -0.521  -0.512  -0.502  -0.488  -0.470  -0.448  -0.421  -0.388  -0.350  -0.309  -0.263  -0.216  -0.168  -0.122  -0.077  -0.035   0.005   0.045   0.084   0.127   0.175   0.227   0.281   0.340   0.405   0.476   0.553   0.637   0.728   0.824   0.922   1.024   1.131   1.244   1.366   1.495
   3.925  -0.528  -0.523  -0.515  -0.506  -0.492  -0.473  -0.447  -0.413  -0.369  -0.315  -0.250  -0.176  -0.096  -0.011   0.074   0.157   0.235   0.305   0.369   0.426   0.479   0.532   0.584   0.635   0.689   0.748   0.811   0.879   0.954   1.035   1.122   1.211   1.304   1.402   1.505   1.611   1.727
   3.950  -0.527  -0.524  -0.518  -0.511  -0.500  -0.482  -0.456  -0.420  -0.370  -0.306  -0.226  -0.131  -0.024   0.092   0.213   0.333   0.448   0.552   0.645   0.726   0.797   0.860   0.918   0.972   1.025   1.080   1.137   1.199   1.266   1.339   1.416   1.497   1.582   1.672   1.767   1.866   1.970
   3.975  -0.520  -0.518  -0.514  -0.509  -0.500  -0.485  -0.461  -0.426  -0.377  -0.309  -0.224  -0.118   0.005   0.144   0.292   0.444   0.593   0.732   0.859   0.970   1.066   1.149   1.220   1.282   1.339   1.395   1.450   1.508   1.568   1.634   1.703   1.776   1.853   1.935   2.022   2.112   2.208
   4.000  -0.510  -0.509  -0.507  -0.503  -0.496  -0.484  -0.463  -0.432  -0.385  -0.320  -0.233  -0.123   0.009   0.162   0.329   0.506   0.684   0.855   1.015   1.158   1.284   1.390   1.481   1.557   1.624   1.685   1.742   1.799   1.856   1.916   1.979   2.045   2.116   2.191   2.271   2.356   2.446
   4.025  -0.499  -0.498  -0.496  -0.494  -0.489  -0.478  -0.460  -0.431  -0.388  -0.325  -0.241  -0.131   0.002   0.161   0.337   0.529   0.726   0.921   1.109   1.282   1.437   1.571   1.687   1.784   1.868   1.940   2.004   2.065   2.122   2.180   2.240   2.302   2.367   2.436   2.509   2.586   2.669
   4.050  -0.487  -0.486  -0.484  -0.482  -0.478  -0.469  -0.452  -0.426  -0.386  -0.328  -0.248  -0.142  -0.010   0.148   0.327   0.525   0.733   0.946   1.155   1.354   1.537   1.700   1.843   1.965   2.069   2.158   2.234   2.302   2.364   2.423   2.482   2.542   2.603   2.668   2.735   2.806   2.881
   4.075  -0.476  -0.473  -0.470  -0.467  -0.463  -0.455  -0.441  -0.417  -0.380  -0.325  -0.249  -0.147  -0.020   0.135   0.311   0.510   0.721   0.942   1.164   1.380   1.586   1.775   1.945   2.093   2.222   2.331   2.424   2.504   2.574   2.639   2.700   2.760   2.821   2.882   2.946   3.013   3.082
   4.100  -0.467  -0.462  -0.457  -0.453  -0.449  -0.441  -0.427  -0.405  -0.370  -0.318  -0.246  -0.150  -0.028   0.120   0.292   0.486   0.696   0.918   1.147   1.375   1.598   1.808   2.004   2.178   2.333   2.465   2.578   2.673   2.756   2.829   2.895   2.959   3.020   3.081   3.143   3.206   3.271
   4.125  -0.462  -0.455  -0.449  -0.444  -0.437  -0.428  -0.414  -0.392  -0.359  -0.311  -0.242  -0.151  -0.035   0.108   0.274   0.462   0.667   0.888   1.117   1.351   1.584   1.810   2.025   2.224   2.403   2.559   2.694   2.809   2.907   2.992   3.066   3.135   3.200   3.263   3.324   3.387   3.450
   4.150  -0.459  -0.451  -0.444  -0.436  -0.428  -0.417  -0.402  -0.380  -0.348  -0.301  -0.237  -0.149  -0.039   0.097   0.257   0.438   0.638   0.854   1.081   1.316   1.554   1.791   2.022   2.240   2.441   2.621   2.779   2.915   3.031   3.130   3.215   3.292   3.363   3.428   3.491   3.555   3.617
   4.175  -0.459  -0.450  -0.441  -0.432  -0.422  -0.410  -0.393  -0.370  -0.338  -0.292  -0.229  -0.145  -0.039   0.092   0.246   0.421   0.616   0.826   1.049   1.282   1.522   1.764   2.004   2.236   2.455   2.655   2.836   2.993   3.129   3.244   3.343   3.430   3.507   3.578   3.645   3.712   3.776
   4.200  -0.459  -0.450  -0.440  -0.430  -0.418  -0.404  -0.386  -0.362  -0.329  -0.283  -0.221  -0.140  -0.038   0.089   0.237   0.407   0.596   0.801   1.020   1.250   1.488   1.732   1.977   2.219   2.452   2.670   2.870   3.048   3.204   3.337   3.452   3.551   3.637   3.715   3.787   3.858   3.925
   4.225  -0.459  -0.450  -0.441  -0.430  -0.417  -0.402  -0.383  -0.358  -0.324  -0.278  -0.217  -0.137  -0.037   0.085   0.230   0.396   0.580   0.782   0.997   1.224   1.461   1.704   1.951   2.197   2.438   2.670   2.887   3.084   3.261   3.413   3.544   3.657   3.755   3.842   3.922   3.998   4.069
   4.250  -0.457  -0.449  -0.440  -0.430  -0.417  -0.401  -0.381  -0.355  -0.321  -0.275  -0.215  -0.136  -0.038   0.082   0.223   0.386   0.567   0.766   0.979   1.204   1.438   1.680   1.926   2.175   2.421   2.662   2.893   3.107   3.302   3.472   3.621   3.749   3.861   3.959   4.048   4.131   4.208
   4.275  -0.452  -0.445  -0.436  -0.426  -0.414  -0.398  -0.378  -0.353  -0.319  -0.273  -0.213  -0.135  -0.039   0.079   0.217   0.377   0.557   0.754   0.967   1.191   1.425   1.665   1.910   2.159   2.408   2.654   2.893   3.120   3.330   3.517   3.684   3.828   3.955   4.067   4.166   4.258   4.340
   4.300  -0.445  -0.438  -0.430  -0.421  -0.409  -0.394  -0.374  -0.349  -0.316  -0.270  -0.211  -0.135  -0.040   0.075   0.211   0.370   0.548   0.746   0.958   1.183   1.416   1.656   1.901   2.149   2.399   2.648   2.893   3.129   3.352   3.554   3.736   3.898   4.041   4.166   4.277   4.377   4.466
   4.325  -0.435  -0.429  -0.422  -0.412  -0.400  -0.386  -0.367  -0.343  -0.310  -0.267  -0.210  -0.136  -0.044   0.069   0.203   0.361   0.539   0.736   0.950   1.175   1.410   1.652   1.898   2.148   2.399   2.651   2.899   3.141   3.372   3.586   3.783   3.960   4.118   4.257   4.381   4.490   4.585
   4.350  -0.426  -0.420  -0.412  -0.402  -0.390  -0.376  -0.357  -0.333  -0.302  -0.260  -0.206  -0.135  -0.045   0.065   0.198   0.355   0.532   0.730   0.945   1.172   1.409   1.653   1.902   2.153   2.406   2.659   2.910   3.156   3.394   3.618   3.826   4.017   4.189   4.342   4.477   4.596   4.696
   4.375  -0.417  -0.410  -0.401  -0.391  -0.378  -0.363  -0.343  -0.318  -0.287  -0.246  -0.194  -0.125  -0.039   0.069   0.200   0.356   0.533   0.732   0.947   1.175   1.414   1.660   1.912   2.165   2.420   2.675   2.929   3.178   3.421   3.652   3.871   4.072   4.255   4.420   4.566   4.693   4.801
   4.400  -0.409  -0.402  -0.392  -0.381  -0.367  -0.350  -0.328  -0.302  -0.269  -0.228  -0.176  -0.110  -0.026   0.080   0.208   0.363   0.540   0.738   0.954   1.183   1.423   1.672   1.926   2.182   2.440   2.697   2.953   3.205   3.451   3.689   3.915   4.125   4.318   4.493   4.648   4.784   4.900
   4.425  -0.402  -0.395  -0.385  -0.373  -0.358  -0.339  -0.315  -0.286  -0.250  -0.207  -0.153  -0.086  -0.004   0.100   0.225   0.376   0.550   0.747   0.962   1.192   1.434   1.685   1.941   2.201   2.462   2.723   2.982   3.238   3.488   3.731   3.963   4.179   4.379   4.562   4.725   4.868   4.991
   4.450  -0.397  -0.390  -0.379  -0.367  -0.351  -0.330  -0.304  -0.272  -0.232  -0.185  -0.128  -0.060   0.024   0.126   0.249   0.397   0.568   0.763   0.977   1.207   1.450   1.702   1.961   2.223   2.487   2.752   3.014   3.274   3.527   3.774   4.011   4.232   4.438   4.627   4.797   4.946   5.076
   4.475  -0.393  -0.385  -0.374  -0.362  -0.346  -0.324  -0.297  -0.262  -0.219  -0.167  -0.105  -0.031   0.056   0.160   0.284   0.431   0.600   0.792   1.004   1.233   1.476   1.728   1.987   2.250   2.517   2.783   3.049   3.311   3.569   3.820   4.060   4.286   4.496   4.689   4.863   5.017   5.152
   4.500  -0.390  -0.381  -0.370  -0.358  -0.342  -0.320  -0.291  -0.255  -0.208  -0.152  -0.084  -0.005   0.088   0.197   0.324   0.471   0.640   0.830   1.040   1.267   1.508   1.758   2.017   2.281   2.548   2.817   3.084   3.350   3.610   3.864   4.108   4.337   4.551   4.746   4.924   5.082   5.221
   4.525  -0.388  -0.379  -0.368  -0.355  -0.339  -0.317  -0.288  -0.250  -0.202  -0.142  -0.070   0.015   0.115   0.231   0.363   0.514   0.684   0.874   1.082   1.306   1.544   1.793   2.051   2.314   2.581   2.850   3.119   3.386   3.649   3.906   4.152   4.384   4.601   4.799   4.979   5.137   5.277
   4.550  -0.387  -0.378  -0.366  -0.354  -0.337  -0.315  -0.286  -0.248  -0.199  -0.136  -0.060   0.031   0.138   0.261   0.401   0.558   0.732   0.923   1.130   1.352   1.588   1.834   2.088   2.349   2.615   2.883   3.152   3.421   3.685   3.943   4.191   4.425   4.644   4.844   5.024   5.184   5.324
